X,Y,Z
-1.135976910591125488e+00,-1.038430482149124146e-01,2.311286687850952148e+00
-2.135531663894653320e+00,-3.001525640487670898e+00,6.047182083129882812e+00
-2.135531663894653320e+00,-3.001525640487670898e+00,6.047182083129882812e+00
-4.428405165672302246e-01,1.489411946386098862e-02,1.239400982856750488e+00
-4.633772671222686768e-01,-2.526084482669830322e-01,1.152321100234985352e+00
-1.567605018615722656e+00,2.161324024200439453e+00,4.498904228210449219e+00
-4.449547529220581055e-01,-2.229601591825485229e-01,1.280819892883300781e+00
-4.158041477203369141e-01,5.256134867668151855e-01,1.295437335968017578e+00
-3.823087513446807861e-01,6.660357117652893066e-01,1.129603743553161621e+00
-1.301836967468261719e+00,-9.137296080589294434e-01,4.618538379669189453e+00
-3.511041104793548584e-01,-6.051657795906066895e-01,2.176535367965698242e+00
-3.386206924915313721e-01,1.453930139541625977e-01,1.148381352424621582e+00
-4.757841229438781738e-01,4.607945978641510010e-01,1.674674510955810547e+00
-4.021101295948028564e-01,1.795712411403656006e-01,1.423752188682556152e+00
-1.060182929039001465e+00,-9.751839637756347656e-01,4.143567085266113281e+00
-7.557260990142822266e-01,-1.022113442420959473e+00,4.178271770477294922e+00
-2.322356253862380981e-01,1.549163907766342163e-01,1.079071402549743652e+00
-3.198806047439575195e-01,-1.328024864196777344e-01,2.510353088378906250e+00
-1.022444516420364380e-01,-4.841971099376678467e-01,1.831460833549499512e+00
-2.267668843269348145e-01,-2.556250691413879395e-01,1.533873081207275391e+00
-2.330386787652969360e-01,-2.738958299160003662e-01,1.547565340995788574e+00
-2.440364807844161987e-01,-3.098819255828857422e-01,1.572131037712097168e+00
-3.444799482822418213e-01,-6.938175857067108154e-02,2.072719335556030273e+00
3.094343841075897217e-01,2.970055043697357178e-01,8.882336020469665527e-01
-1.251815557479858398e-01,4.050590395927429199e-01,1.046061396598815918e+00
-5.407333374023437500e-01,-1.197461485862731934e+00,3.357776880264282227e+00
-1.109168380498886108e-01,2.035932689905166626e-01,1.304686903953552246e+00
-1.804643869400024414e-01,-1.799338310956954956e-01,1.617898464202880859e+00
-1.697291880846023560e-01,-1.487207710742950439e-01,1.620887637138366699e+00
-1.851169914007186890e-01,1.040922164916992188e+00,2.045807123184204102e+00
-3.295395374298095703e-01,7.812198996543884277e-01,3.532576322555541992e+00
-1.737085431814193726e-01,-7.068049907684326172e-01,1.842902660369873047e+00
1.916705369949340820e-01,1.325097531080245972e-01,9.241043329238891602e-01
-1.321317851543426514e-01,-1.441296041011810303e-01,1.630123972892761230e+00
-1.273962110280990601e-01,-1.659885197877883911e-01,1.729968309402465820e+00
-1.578395664691925049e-01,-4.661245346069335938e-01,1.519979715347290039e+00
-1.132317036390304565e-01,-1.571997553110122681e-01,1.633052825927734375e+00
-1.179781705141067505e-01,-8.075995445251464844e-01,1.716391205787658691e+00
-1.307184398174285889e-01,-2.399218976497650146e-01,1.728537440299987793e+00
-1.103290244936943054e-01,-1.424218267202377319e-01,1.635216712951660156e+00
3.930669277906417847e-02,-2.225136011838912964e-02,1.830661654472351074e+00
-7.447911798954010010e-02,-8.734893798828125000e-01,1.773126602172851562e+00
-7.705764472484588623e-02,-8.847129344940185547e-01,1.777552247047424316e+00
-6.909826397895812988e-02,-8.769291043281555176e-01,1.766087651252746582e+00
-5.746161565184593201e-02,-2.767473757266998291e-01,1.963193535804748535e+00
-1.366426467895507812e+00,5.007300376892089844e+00,2.933965682983398438e+01
2.830586954951286316e-02,9.538870304822921753e-02,1.899784922599792480e+00
6.674399971961975098e-02,2.301216423511505127e-01,1.483170151710510254e+00
-3.487174212932586670e-02,-8.442189693450927734e-01,1.716819763183593750e+00
-1.442846562713384628e-02,8.129272460937500000e-01,1.948849081993103027e+00
-9.711467660963535309e-03,6.877515912055969238e-01,1.179823398590087891e+00
-5.882010608911514282e-02,-6.738383769989013672e-01,2.292613983154296875e+00
1.314317900687456131e-02,-1.375564932823181152e-01,1.336975932121276855e+00
1.492763161659240723e-01,1.278536743484437466e-03,1.647322058677673340e+00
2.560217380523681641e-01,-9.782629460096359253e-02,1.481495976448059082e+00
1.510438472032546997e-01,2.555283717811107635e-03,1.643570303916931152e+00
7.903723977506160736e-03,6.839610934257507324e-01,1.202887296676635742e+00
9.218672662973403931e-02,3.821368813514709473e-01,1.744498968124389648e+00
6.158085539937019348e-02,6.181991100311279297e-01,9.435942769050598145e-01
3.653683140873908997e-02,-8.098466396331787109e-01,1.771365165710449219e+00
2.852121368050575256e-02,3.020946979522705078e-01,8.958194255828857422e-01
1.657086424529552460e-02,-2.717080116271972656e-01,1.333387374877929688e+00
1.668330281972885132e-02,-2.774378657341003418e-01,1.332602262496948242e+00
2.641024626791477203e-02,-1.965745985507965088e-01,1.325270295143127441e+00
6.148051097989082336e-02,-2.588138580322265625e-01,1.773663997650146484e+00
9.852179884910583496e-02,2.105645239353179932e-01,1.602792620658874512e+00
6.643381714820861816e-02,-9.859845787286758423e-02,1.354583501815795898e+00
8.747939020395278931e-02,-7.361174821853637695e-01,1.540481686592102051e+00
1.073198392987251282e-01,-2.233179211616516113e-01,1.362797379493713379e+00
1.003915742039680481e-01,7.026671171188354492e-01,1.140442371368408203e+00
4.563938081264495850e-01,3.413861095905303955e-01,1.574654340744018555e+00
1.114483997225761414e-01,-1.487443596124649048e-01,1.324407458305358887e+00
1.184269413352012634e-01,-1.971404850482940674e-01,1.358825564384460449e+00
1.184372454881668091e-01,-2.037870287895202637e-01,1.359780073165893555e+00
1.259981542825698853e-01,-1.013812273740768433e-01,1.359542369842529297e+00
1.243890225887298584e-01,-2.042702287435531616e-01,1.362128019332885742e+00
1.230165809392929077e-01,7.049533724784851074e-01,1.134196400642395020e+00
1.821759194135665894e-01,-8.012312054634094238e-01,1.710866928100585938e+00
1.938032358884811401e-01,-5.775217413902282715e-01,1.765404820442199707e+00
1.649321466684341431e-01,2.703583836555480957e-01,1.463039398193359375e+00
1.578251570463180542e-01,2.131616696715354919e-02,1.334807634353637695e+00
2.289047241210937500e-01,-6.141606569290161133e-01,1.598390579223632812e+00
2.254153788089752197e-01,-7.451831698417663574e-01,1.619368553161621094e+00
1.900648921728134155e-01,-5.013759136199951172e-01,1.339593529701232910e+00
1.519457548856735229e-01,1.352504044771194458e-01,1.045801639556884766e+00
2.201358079910278320e-01,-1.144220307469367981e-01,1.525719642639160156e+00
2.200422734022140503e-01,-1.227114722132682800e-01,1.527589321136474609e+00
3.118483424186706543e-01,4.867729544639587402e-01,1.451693773269653320e+00
1.795864403247833252e-01,4.258398711681365967e-01,8.750344514846801758e-01
2.027103751897811890e-01,5.227752327919006348e-01,9.731792211532592773e-01
2.214517444372177124e-01,5.787747502326965332e-01,1.020658016204833984e+00
5.920085906982421875e-01,-3.900358825922012329e-02,1.304481387138366699e+00
5.354636907577514648e-01,1.076997160911560059e+00,2.380557298660278320e+00
2.861715257167816162e-01,3.354683816432952881e-01,9.659803509712219238e-01
2.643513977527618408e-01,7.005547285079956055e-01,1.174880266189575195e+00
2.869980037212371826e-01,5.328545570373535156e-01,1.159702897071838379e+00
2.580363154411315918e-01,1.481773406267166138e-01,1.091004014015197754e+00
6.081908345222473145e-01,-1.281406637281179428e-02,1.240438222885131836e+00
6.112768054008483887e-01,-7.822175510227680206e-03,1.228336691856384277e+00
2.775587141513824463e-01,7.136461734771728516e-01,1.116072058677673340e+00
6.148161292076110840e-01,-1.978436484932899475e-03,1.214310169219970703e+00
2.883497476577758789e-01,7.128666043281555176e-01,1.120220422744750977e+00
3.215192258358001709e-01,6.953925490379333496e-01,1.208034157752990723e+00
3.306186795234680176e-01,6.996299028396606445e-01,1.188058376312255859e+00
3.591812551021575928e-01,5.798568129539489746e-01,1.259965896606445312e+00
3.308030068874359131e-01,7.184262871742248535e-01,1.097336053848266602e+00
6.035309433937072754e-01,-1.184473112225532532e-01,1.796930432319641113e+00
6.036794185638427734e-01,-1.193894594907760620e-01,1.796912670135498047e+00
3.890204131603240967e-01,7.135841846466064453e-01,1.125710487365722656e+00
2.817462384700775146e-01,-8.673446625471115112e-02,6.778536438941955566e-01
6.146448850631713867e-01,-4.644689261913299561e-01,1.772476911544799805e+00
3.320708572864532471e-01,4.027602076530456543e-01,9.025986194610595703e-01
4.503074884414672852e-01,5.769863724708557129e-01,1.130235314369201660e+00
5.046803951263427734e-01,4.159578084945678711e-01,1.076847910881042480e+00
